model,epoch,train_loss,train_acc,test_loss,test_acc,best_test_acc,lr
CNN-SW,1,1.530195073738098,0.42828,1.3892186672210693,0.5299,0.5299,0.09990133642141358
CNN-SW,2,1.0796850106048583,0.6129,1.4436580871582032,0.5328,0.5328,0.0996057350657239
CNN-SW,3,0.8901958024787903,0.68304,1.1110255867004395,0.6171,0.6171,0.09911436253643444
CNN-SW,4,0.7819613753128052,0.7255,1.7491104534149169,0.5063,0.6171,0.09842915805643154
CNN-SW,5,0.6982916499710083,0.75782,0.8153556228637695,0.7247,0.7247,0.09755282581475767
CNN-SW,6,0.6469537290000915,0.77586,0.7983294044494629,0.7277,0.7277,0.09648882429441256
CNN-SW,7,0.6089021854400635,0.7894,0.8604202596664429,0.7354,0.7354,0.09524135262330098
CNN-SW,8,0.5766114791965484,0.8009,0.7821575922966003,0.7393,0.7393,0.09381533400219318
CNN-SW,9,0.5579316850852967,0.80816,0.7576386612892151,0.7428,0.7428,0.09221639627510075
CNN-SW,10,0.5295073605155944,0.82072,0.7983669946670532,0.7484,0.7484,0.09045084971874737
CNN-SW,11,0.511761882572174,0.8246,0.6817817752838135,0.7748,0.7748,0.08852566213878946
CNN-SW,12,0.4958178842353821,0.83056,0.6569761976242066,0.7917,0.7917,0.08644843137107057
CNN-SW,13,0.481318686132431,0.8355,1.0184580410003663,0.7057,0.7917,0.08422735529643442
CNN-SW,14,0.464804834022522,0.83978,0.521791481590271,0.8244,0.8244,0.08187119948743447
CNN-SW,15,0.45618441213607785,0.8448,0.6910547210216522,0.7747,0.8244,0.07938926261462366
CNN-SW,16,0.4427673279476166,0.85032,0.7918116738319397,0.7547,0.8244,0.07679133974894982
CNN-SW,17,0.42945277521133424,0.85312,0.6753256290435791,0.781,0.8244,0.07408768370508576
CNN-SW,18,0.425865396566391,0.85488,0.6700828116416931,0.7821,0.8244,0.07128896457825362
CNN-SW,19,0.4050099698257446,0.86172,0.5264418721199036,0.8214,0.8244,0.06840622763423389
CNN-SW,20,0.40523418981552123,0.86162,0.7493508447647095,0.7628,0.8244,0.06545084971874736
CNN-SW,21,0.3915231758213043,0.86678,0.612316912984848,0.8082,0.8244,0.06243449435824272
CNN-SW,22,0.3818355920124054,0.86872,0.5293796921730042,0.8263,0.8263,0.05936906572928623
CNN-SW,23,0.3768072429084778,0.8728,0.5804233017921447,0.8059,0.8263,0.056266661678215216
CNN-SW,24,0.3629123069000244,0.8767,0.49938918113708497,0.8355,0.8355,0.053139525976465665
CNN-SW,25,0.3551267259407043,0.87722,0.5171595375537872,0.8285,0.8355,0.049999999999999996
CNN-SW,26,0.335358262219429,0.88484,0.49597479238510134,0.8373,0.8373,0.046860474023534326
CNN-SW,27,0.32721970700263975,0.88804,0.7738183277130127,0.7645,0.8373,0.04373333832178478
CNN-SW,28,0.31470432527542114,0.89282,0.5108687124252319,0.8279,0.8373,0.040630934270713764
CNN-SW,29,0.30921104741096495,0.8948,0.5289822727203369,0.8239,0.8373,0.03756550564175726
CNN-SW,30,0.2948723045158386,0.89892,0.4660375785827637,0.8488,0.8488,0.03454915028125265
CNN-SW,31,0.28003720775604246,0.9058,0.46147329063415526,0.8557,0.8557,0.03159377236576612
CNN-SW,32,0.2678039263725281,0.90864,0.4093639232635498,0.8638,0.8638,0.028711035421746366
CNN-SW,33,0.2550278399562836,0.91456,0.4149653820991516,0.8635,0.8638,0.025912316294914226
CNN-SW,34,0.24133125935554503,0.91936,0.42056287813186644,0.8639,0.8639,0.023208660251050155
CNN-SW,35,0.22270282858848572,0.92562,0.3762969150066376,0.8789,0.8789,0.020610737385376346
CNN-SW,36,0.2114602526283264,0.9282,0.41513837089538574,0.8634,0.8789,0.01812880051256551
CNN-SW,37,0.197025262260437,0.93406,0.4358074776649475,0.8577,0.8789,0.015772644703565562
CNN-SW,38,0.18178831948280336,0.9396,0.37442330121994016,0.8798,0.8798,0.013551568628929433
CNN-SW,39,0.16652180130958558,0.94438,0.3419405198097229,0.8882,0.8882,0.011474337861210542
CNN-SW,40,0.14884023395061494,0.95082,0.3252388927221298,0.8952,0.8952,0.009549150281252632
CNN-SW,41,0.13547260993003846,0.95714,0.3464346420049667,0.8928,0.8952,0.007783603724899257
CNN-SW,42,0.12068088907241821,0.96274,0.31412216913700103,0.9002,0.9002,0.0061846659978068205
CNN-SW,43,0.10995591766119003,0.9666,0.2896805974960327,0.9068,0.9068,0.004758647376699033
CNN-SW,44,0.09853952888011933,0.97,0.28827495679855347,0.9086,0.9086,0.0035111757055874327
CNN-SW,45,0.09054622819423676,0.97358,0.28238285620212555,0.9114,0.9114,0.0024471741852423235
CNN-SW,46,0.08360120351076127,0.97566,0.28320965960025785,0.9084,0.9114,0.0015708419435684518
CNN-SW,47,0.07767606035232544,0.9784,0.2760756697177887,0.9144,0.9144,0.000885637463565564
CNN-SW,48,0.07312359405279159,0.98016,0.27697721929550173,0.9129,0.9144,0.00039426493427611173
CNN-SW,49,0.06881021359205246,0.98268,0.2758080142259598,0.9151,0.9151,9.866357858642205e-05
CNN-SW,50,0.06936127645492554,0.98166,0.2763729327201843,0.9146,0.9151,0.0
CNN-M,1,1.6808093227005005,0.36372,1.6021143257141113,0.4176,0.4176,0.09990133642141358
CNN-M,2,1.2646860169219971,0.5407,1.3492807474136352,0.5311,0.5311,0.0996057350657239
CNN-M,3,0.9763910902786255,0.65076,1.2447866661071778,0.5965,0.5965,0.09911436253643444
CNN-M,4,0.8115030310058594,0.71532,1.029110414505005,0.6486,0.6486,0.09842915805643154
CNN-M,5,0.7110800073432922,0.75306,0.9298324122428894,0.6833,0.6833,0.09755282581475767
CNN-M,6,0.6510795923995971,0.77582,0.7458228958129883,0.7503,0.7503,0.09648882429441256
CNN-M,7,0.6083070343017578,0.79022,0.7085638854980468,0.7586,0.7586,0.09524135262330098
CNN-M,8,0.5782730863952636,0.8013,0.629286663532257,0.7849,0.7849,0.09381533400219318
CNN-M,9,0.5547486487388611,0.80814,0.660573368358612,0.7694,0.7849,0.09221639627510075
CNN-M,10,0.5321795181274414,0.81822,0.6622219151496888,0.7791,0.7849,0.09045084971874737
CNN-M,11,0.5078874572372436,0.82654,0.6563238255500794,0.781,0.7849,0.08852566213878946
CNN-M,12,0.49146340737342836,0.83238,0.5548780289649964,0.8122,0.8122,0.08644843137107057
CNN-M,13,0.4773454982566834,0.83566,0.7859165811538696,0.7407,0.8122,0.08422735529643442
CNN-M,14,0.4569886568546295,0.843,0.5928635507583618,0.7979,0.8122,0.08187119948743447
CNN-M,15,0.4526400795173645,0.84506,0.749938200378418,0.7596,0.8122,0.07938926261462366
CNN-M,16,0.4342588961029053,0.85032,0.55439604845047,0.81,0.8122,0.07679133974894982
CNN-M,17,0.4169403464508057,0.8569,1.0942869729995728,0.6787,0.8122,0.07408768370508576
CNN-M,18,0.40587270902633665,0.86184,0.5769949471473694,0.8135,0.8135,0.07128896457825362
CNN-M,19,0.3957113421821594,0.86332,0.5701337209701538,0.806,0.8135,0.06840622763423389
CNN-M,20,0.38286727877616883,0.8695,0.4902708518028259,0.8341,0.8341,0.06545084971874736
CNN-M,21,0.37441173152923585,0.87074,0.46356988134384153,0.8421,0.8421,0.06243449435824272
CNN-M,22,0.3600945461368561,0.87612,0.5671234546184539,0.8115,0.8421,0.05936906572928623
CNN-M,23,0.34357499256134033,0.88204,0.4899237211227417,0.8389,0.8421,0.056266661678215216
CNN-M,24,0.3276872978401184,0.88802,0.5023635405302048,0.8369,0.8421,0.053139525976465665
CNN-M,25,0.32172080129623415,0.88958,0.4925828260421753,0.8365,0.8421,0.049999999999999996
CNN-M,26,0.311883240070343,0.89368,0.41952092456817625,0.8588,0.8588,0.046860474023534326
CNN-M,27,0.29028778517723086,0.90152,0.5504321575164794,0.8349,0.8588,0.04373333832178478
CNN-M,28,0.287473849773407,0.9021,0.4041306498527527,0.8656,0.8656,0.040630934270713764
CNN-M,29,0.2664606558227539,0.90902,0.4008689560890198,0.8704,0.8704,0.03756550564175726
CNN-M,30,0.25011123581409456,0.9147,0.42632497792243956,0.8623,0.8704,0.03454915028125265
CNN-M,31,0.23947190689086914,0.91798,0.3598814453125,0.8835,0.8835,0.03159377236576612
CNN-M,32,0.22550112879753112,0.92258,0.43020104761123656,0.8607,0.8835,0.028711035421746366
CNN-M,33,0.20832764983177185,0.92822,0.38635439854860304,0.8717,0.8835,0.025912316294914226
CNN-M,34,0.19254591417312622,0.9333,0.3386712801456451,0.8891,0.8891,0.023208660251050155
CNN-M,35,0.17857875986099242,0.93778,0.37741545197963716,0.8838,0.8891,0.020610737385376346
CNN-M,36,0.158954497385025,0.94634,0.454941872215271,0.8658,0.8891,0.01812880051256551
CNN-M,37,0.14295444860458373,0.951,0.2998386953949928,0.9057,0.9057,0.015772644703565562
CNN-M,38,0.12422359796762467,0.95744,0.32480528535842895,0.8979,0.9057,0.013551568628929433
CNN-M,39,0.11275759954452515,0.9619,0.3118352620124817,0.9042,0.9057,0.011474337861210542
CNN-M,40,0.0931125712776184,0.9695,0.2895941992163658,0.9105,0.9105,0.009549150281252632
CNN-M,41,0.07877299209594726,0.9749,0.27635277376174927,0.913,0.913,0.007783603724899257
CNN-M,42,0.06593389532446861,0.9794,0.2648024446964264,0.9173,0.9173,0.0061846659978068205
CNN-M,43,0.053803036432266235,0.9836,0.25470464868545534,0.922,0.922,0.004758647376699033
CNN-M,44,0.04365846781373024,0.9881,0.24759651079177855,0.9264,0.9264,0.0035111757055874327
CNN-M,45,0.03916976921916008,0.98964,0.23925935387611388,0.9264,0.9264,0.0024471741852423235
CNN-M,46,0.033780992436408995,0.99154,0.23810432176589966,0.9285,0.9285,0.0015708419435684518
CNN-M,47,0.030274981274604797,0.99286,0.239635928106308,0.9278,0.9285,0.000885637463565564
CNN-M,48,0.028631211072206498,0.99348,0.23654186902046204,0.928,0.9285,0.00039426493427611173
CNN-M,49,0.02648934347510338,0.99408,0.23798559885025025,0.9281,0.9285,9.866357858642205e-05
CNN-M,50,0.026977839637994765,0.99456,0.23476396417617798,0.9283,0.9285,0.0
CNN-DN,1,1.7639595710372924,0.32848,1.731024582862854,0.3732,0.3732,0.09990133642141358
CNN-DN,2,1.3721395588684082,0.49908,1.396583623123169,0.5085,0.5085,0.0996057350657239
CNN-DN,3,1.072072166519165,0.61632,1.0619375710487367,0.6282,0.6282,0.09911436253643444
CNN-DN,4,0.8850806141471863,0.68878,0.9682122111320496,0.6709,0.6709,0.09842915805643154
CNN-DN,5,0.773424202003479,0.73292,1.1576843172073363,0.6524,0.6709,0.09755282581475767
CNN-DN,6,0.7057732905960084,0.7565,0.8416506256103515,0.709,0.709,0.09648882429441256
CNN-DN,7,0.6763736545181275,0.76546,1.1300474031448364,0.6406,0.709,0.09524135262330098
CNN-DN,8,0.6283082490158081,0.78544,0.7668072635650635,0.7434,0.7434,0.09381533400219318
CNN-DN,9,0.6080695798301696,0.7897,0.7641262943267823,0.737,0.7434,0.09221639627510075
CNN-DN,10,0.5817646871185302,0.8019,0.9597995189666748,0.6889,0.7434,0.09045084971874737
CNN-DN,11,0.5645198375320435,0.8068,0.8603718389511108,0.7257,0.7434,0.08852566213878946
CNN-DN,12,0.5418098361110687,0.81334,1.0287766530036926,0.6927,0.7434,0.08644843137107057
CNN-DN,13,0.5288592569541931,0.81894,0.6781890993118286,0.7798,0.7798,0.08422735529643442
CNN-DN,14,0.5100555190467835,0.82568,0.8556234792709351,0.7305,0.7798,0.08187119948743447
CNN-DN,15,0.4955056628322601,0.8315,0.8643850086212158,0.7343,0.7798,0.07938926261462366
CNN-DN,16,0.4826852803707123,0.8353,0.6807958783149719,0.7843,0.7843,0.07679133974894982
CNN-DN,17,0.4715487582206726,0.8386,0.8781911458969116,0.7347,0.7843,0.07408768370508576
CNN-DN,18,0.45296694754600525,0.84486,0.7289339353561402,0.765,0.7843,0.07128896457825362
CNN-DN,19,0.44149519899368284,0.84982,0.7122589295387268,0.7739,0.7843,0.06840622763423389
CNN-DN,20,0.4287199920272827,0.85502,0.7231101418018341,0.7665,0.7843,0.06545084971874736
CNN-DN,21,0.4209504665374756,0.85592,0.720721175956726,0.7738,0.7843,0.06243449435824272
CNN-DN,22,0.39700840206146243,0.86498,0.5195994297504425,0.8277,0.8277,0.05936906572928623
CNN-DN,23,0.3883860047531128,0.86614,0.565650746011734,0.8128,0.8277,0.056266661678215216
CNN-DN,24,0.371942582988739,0.87064,0.6136607053756714,0.806,0.8277,0.053139525976465665
CNN-DN,25,0.35955690979003907,0.87652,0.586564209651947,0.8095,0.8277,0.049999999999999996
CNN-DN,26,0.34572164132118227,0.88084,0.5852567461013793,0.8121,0.8277,0.046860474023534326
CNN-DN,27,0.33159863767623904,0.88766,0.5739681606769562,0.8118,0.8277,0.04373333832178478
CNN-DN,28,0.31396895524024965,0.8914,0.5299667693138123,0.8365,0.8365,0.040630934270713764
CNN-DN,29,0.30846937828063964,0.89466,0.5008575907707215,0.8413,0.8413,0.03756550564175726
CNN-DN,30,0.2865577341842651,0.90236,0.4327824073076248,0.8613,0.8613,0.03454915028125265
CNN-DN,31,0.2717254374408722,0.90612,0.4430727569103241,0.8641,0.8641,0.03159377236576612
CNN-DN,32,0.25882459451675416,0.91082,0.44487709107398987,0.8567,0.8641,0.028711035421746366
CNN-DN,33,0.2444064502811432,0.9155,0.5278792777061463,0.837,0.8641,0.025912316294914226
CNN-DN,34,0.22881745247840882,0.92116,0.41562454385757447,0.8679,0.8679,0.023208660251050155
CNN-DN,35,0.20853351975440979,0.92988,0.3861171572446823,0.8756,0.8756,0.020610737385376346
CNN-DN,36,0.1892181834125519,0.93606,0.37988566808700563,0.881,0.881,0.01812880051256551
CNN-DN,37,0.1723376202726364,0.94094,0.39433535356521604,0.8785,0.881,0.015772644703565562
CNN-DN,38,0.1546012559556961,0.94646,0.2998902816295624,0.906,0.906,0.013551568628929433
CNN-DN,39,0.1362173305606842,0.9537,0.3220730273246765,0.9017,0.906,0.011474337861210542
CNN-DN,40,0.11791185122966766,0.96026,0.30192164216041567,0.9069,0.9069,0.009549150281252632
CNN-DN,41,0.10311990167617797,0.96584,0.29975541679859163,0.9085,0.9085,0.007783603724899257
CNN-DN,42,0.08514666940689086,0.9719,0.2922856998205185,0.9135,0.9135,0.0061846659978068205
CNN-DN,43,0.07158651593446731,0.97728,0.27115802608728407,0.9191,0.9191,0.004758647376699033
CNN-DN,44,0.06108778967857361,0.98116,0.27592921950817106,0.9194,0.9194,0.0035111757055874327
CNN-DN,45,0.050607391119003295,0.98504,0.26319262928962706,0.9216,0.9216,0.0024471741852423235
CNN-DN,46,0.04368296237230301,0.98774,0.26015240836143494,0.9258,0.9258,0.0015708419435684518
CNN-DN,47,0.03721630264282227,0.9898,0.26090507876873015,0.9247,0.9258,0.000885637463565564
CNN-DN,48,0.03467866398632526,0.99084,0.2593322965621948,0.9254,0.9258,0.00039426493427611173
CNN-DN,49,0.0315871946555376,0.99262,0.2597829155445099,0.9258,0.9258,9.866357858642205e-05
CNN-DN,50,0.03204547094583511,0.99176,0.25910821299552916,0.9269,0.9269,0.0
